"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"LRBaseDb for Anolis carolinensis (Anole lizard, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Anolis carolinensis (Anole lizard)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Anolis carolinensis",28377,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Aca.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aca.eg.db:Anolis carolinensis:Anole lizard:v007"
"LRBaseDb for Aquila chrysaetos chrysaetos (Golden eagle, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Aquila chrysaetos chrysaetos (Golden eagle)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Aquila chrysaetos chrysaetos",223781,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Acc.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acc.eg.db:Aquila chrysaetos chrysaetos:Golden eagle:v007"
"LRBaseDb for Astatotilapia calliptera (Eastern happy, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Astatotilapia calliptera (Eastern happy)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Astatotilapia calliptera",8154,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Acl.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acl.eg.db:Astatotilapia calliptera:Eastern happy:v007"
"LRBaseDb for Ailuropoda melanoleuca (Panda, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Ailuropoda melanoleuca (Panda)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Ailuropoda melanoleuca",9646,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Ame.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ame.eg.db:Ailuropoda melanoleuca:Panda:v007"
"LRBaseDb for Apis mellifera (Honey bee, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Apis mellifera (Honey bee)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Apis mellifera",7460,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Aml.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aml.eg.db:Apis mellifera:Honey bee:v007"
"LRBaseDb for Astyanax mexicanus (Mexican tetra, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Astyanax mexicanus (Mexican tetra)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Astyanax mexicanus",7994,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Amx.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Amx.eg.db:Astyanax mexicanus:Mexican tetra:v007"
"LRBaseDb for Aotus nancymaae (Ma's night monkey, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Aotus nancymaae (Ma's night monkey)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Aotus nancymaae",37293,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Ann.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ann.eg.db:Aotus nancymaae:Ma's night monkey:v007"
"LRBaseDb for Anabas testudineus (Climbing perch, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Anabas testudineus (Climbing perch)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Anabas testudineus",64144,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Ate.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ate.eg.db:Anabas testudineus:Climbing perch:v007"
"LRBaseDb for Arabidopsis thaliana (Thale cress, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Arabidopsis thaliana (Thale cress)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Arabidopsis thaliana",3702,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Ath.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ath.eg.db:Arabidopsis thaliana:Thale cress:v007"
"LRBaseDb for Bison bison bison (American bison, v007)","Correspondence table between Ligand Gene ID and Receptor ID for Bison bison bison (American bison)","3.19",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","24-Feb-2024","Bison bison bison",43346,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v007/LRBase.Bbb.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Bbb.eg.db:Bison bison bison:American bison:v007"
